Kinase,Z,method,AvgZ
PDGFR,-1.96,641215101>0.15,-1.2675
SEV,1.6,641215101>0.15,1.1316666666666668
ACK,1.56,641215101>0.15,0.3691666666666666
EGFR,-1.25,641215101>0.15,0.06333333333333342
ALK,-1.11,641215101>0.15,-0.64
FER,1.1,641215101>0.15,1.0291666666666668
EPH,1,641215101>0.15,0.4375
SRC,-1,641215101>0.15,-1.2075
INSR,-0.95,641215101>0.15,-0.82
TEC,-0.91,641215101>0.15,-1.6825
RET,-0.9,641215101>0.15,-0.24583333333333338
RYK,-0.89,641215101>0.15,-0.6133333333333333
JAK,-0.79,641215101>0.15,0.03916666666666666
SYK,-0.74,641215101>0.15,-0.25416666666666665
ABL,-0.56,641215101>0.15,-1.2883333333333333
AXL,0.53,641215101>0.15,-0.1691666666666666
VEGFR,0.53,641215101>0.15,0.10166666666666667
FGFR,0.52,641215101>0.15,0.18583333333333332
FRK,-0.45,641215101>0.15,-0.30500000000000005
CSK,0.44,641215101>0.15,0.38833333333333336
DDR,0.41,641215101>0.15,-0.355
TRK,-0.39,641215101>0.15,0.14750000000000005
MET,-0.29,641215101>0.15,-0.38916666666666666
FAK,-0.23,641215101>0.15,-0.04000000000000001
PDGFR,-2.34,641215101>0.2,-1.2675
ACK,1.77,641215101>0.2,0.3691666666666666
SEV,1.77,641215101>0.2,1.1316666666666668
TEC,-1.49,641215101>0.2,-1.6825
ALK,-1.46,641215101>0.2,-0.64
SRC,-1.31,641215101>0.2,-1.2075
SYK,-1.2,641215101>0.2,-0.25416666666666665
AXL,1.14,641215101>0.2,-0.1691666666666666
JAK,-1.1,641215101>0.2,0.03916666666666666
ABL,-0.98,641215101>0.2,-1.2883333333333333
RYK,-0.78,641215101>0.2,-0.6133333333333333
FRK,-0.76,641215101>0.2,-0.30500000000000005
FER,0.67,641215101>0.2,1.0291666666666668
EGFR,-0.61,641215101>0.2,0.06333333333333342
RET,-0.59,641215101>0.2,-0.24583333333333338
MET,-0.51,641215101>0.2,-0.38916666666666666
EPH,0.5,641215101>0.2,0.4375
INSR,-0.22,641215101>0.2,-0.82
VEGFR,-0.21,641215101>0.2,0.10166666666666667
DDR,-0.18,641215101>0.2,-0.355
CSK,-0.15,641215101>0.2,0.38833333333333336
TRK,0.13,641215101>0.2,0.14750000000000005
FAK,-0.05,641215101>0.2,-0.04000000000000001
FGFR,-0.04,641215101>0.2,0.18583333333333332
PDGFR,-2.47,641215101>0.3,-1.2675
SEV,2.38,641215101>0.3,1.1316666666666668
ACK,2.35,641215101>0.3,0.3691666666666666
SRC,-2.19,641215101>0.3,-1.2075
ALK,-2,641215101>0.3,-0.64
FER,1.57,641215101>0.3,1.0291666666666668
AXL,1.04,641215101>0.3,-0.1691666666666666
FGFR,-0.75,641215101>0.3,0.18583333333333332
VEGFR,0.72,641215101>0.3,0.10166666666666667
SYK,-0.67,641215101>0.3,-0.25416666666666665
RET,-0.66,641215101>0.3,-0.24583333333333338
RYK,-0.59,641215101>0.3,-0.6133333333333333
EGFR,-0.58,641215101>0.3,0.06333333333333342
TEC,-0.57,641215101>0.3,-1.6825
FAK,-0.55,641215101>0.3,-0.04000000000000001
INSR,-0.45,641215101>0.3,-0.82
JAK,-0.39,641215101>0.3,0.03916666666666666
EPH,0.27,641215101>0.3,0.4375
ABL,-0.16,641215101>0.3,-1.2883333333333333
CSK,-0.14,641215101>0.3,0.38833333333333336
