Kinase,Z,method,AvgZ
SRC,-4.07,641215219>0.15,-2.2441666666666666
VEGFR,2.09,641215219>0.15,0.9425
FAK,-1.85,641215219>0.15,-0.6583333333333333
ABL,-1.75,641215219>0.15,-0.4525
FER,1.74,641215219>0.15,0.6875
ACK,1.52,641215219>0.15,0.41000000000000003
SEV,1.47,641215219>0.15,2.0833333333333335
FGFR,1.39,641215219>0.15,0.5925
MET,-1.26,641215219>0.15,-0.47666666666666674
CSK,1.2,641215219>0.15,0.365
FRK,-1.2,641215219>0.15,-0.8875000000000001
SYK,-1.14,641215219>0.15,-1.7866666666666666
AXL,-1.13,641215219>0.15,-0.3766666666666666
TRK,1.08,641215219>0.15,0.9225000000000001
PDGFR,-1.03,641215219>0.15,-0.6608333333333333
RET,-1.02,641215219>0.15,-0.5283333333333333
INSR,-1,641215219>0.15,0.5441666666666667
RYK,-0.92,641215219>0.15,-0.5783333333333334
DDR,-0.92,641215219>0.15,-0.8925000000000001
TEC,-0.61,641215219>0.15,-1.2375
ALK,-0.54,641215219>0.15,-0.8825000000000001
JAK,-0.51,641215219>0.15,-0.32
EGFR,-0.33,641215219>0.15,0.4366666666666667
EPH,0.04,641215219>0.15,-0.4783333333333334
SRC,-3.25,641215219>0.2,-2.2441666666666666
VEGFR,2.41,641215219>0.2,0.9425
FER,2.17,641215219>0.2,0.6875
ABL,-1.87,641215219>0.2,-0.4525
SEV,1.82,641215219>0.2,2.0833333333333335
FAK,-1.73,641215219>0.2,-0.6583333333333333
AXL,-1.58,641215219>0.2,-0.3766666666666666
MET,-1.51,641215219>0.2,-0.47666666666666674
RET,-1.35,641215219>0.2,-0.5283333333333333
SYK,-1.28,641215219>0.2,-1.7866666666666666
PDGFR,-1.01,641215219>0.2,-0.6608333333333333
ALK,-0.87,641215219>0.2,-0.8825000000000001
FGFR,0.86,641215219>0.2,0.5925
RYK,-0.82,641215219>0.2,-0.5783333333333334
FRK,-0.79,641215219>0.2,-0.8875000000000001
DDR,-0.68,641215219>0.2,-0.8925000000000001
CSK,0.6,641215219>0.2,0.365
ACK,-0.57,641215219>0.2,0.41000000000000003
TEC,-0.55,641215219>0.2,-1.2375
TRK,0.48,641215219>0.2,0.9225000000000001
INSR,-0.42,641215219>0.2,0.5441666666666667
EPH,0.37,641215219>0.2,-0.4783333333333334
JAK,-0.33,641215219>0.2,-0.32
EGFR,-0.03,641215219>0.2,0.4366666666666667
SRC,-2.88,641215219>0.3,-2.2441666666666666
SEV,2.65,641215219>0.3,2.0833333333333335
SYK,-2.22,641215219>0.3,-1.7866666666666666
TEC,-2.14,641215219>0.3,-1.2375
TRK,1.7,641215219>0.3,0.9225000000000001
ABL,-1.44,641215219>0.3,-0.4525
FRK,-1.37,641215219>0.3,-0.8875000000000001
AXL,-1.15,641215219>0.3,-0.3766666666666666
PDGFR,-0.94,641215219>0.3,-0.6608333333333333
MET,-0.83,641215219>0.3,-0.47666666666666674
DDR,-0.83,641215219>0.3,-0.8925000000000001
FER,0.8,641215219>0.3,0.6875
EGFR,-0.74,641215219>0.3,0.4366666666666667
FGFR,0.68,641215219>0.3,0.5925
VEGFR,0.59,641215219>0.3,0.9425
RYK,-0.52,641215219>0.3,-0.5783333333333334
RET,-0.48,641215219>0.3,-0.5283333333333333
EPH,-0.44,641215219>0.3,-0.4783333333333334
FAK,0.44,641215219>0.3,-0.6583333333333333
ACK,-0.37,641215219>0.3,0.41000000000000003
ALK,-0.18,641215219>0.3,-0.8825000000000001
INSR,-0.1,641215219>0.3,0.5441666666666667
JAK,-0.01,641215219>0.3,-0.32
CSK,0,641215219>0.3,0.365
SRC,-2.76,641215219>0.4,-2.2441666666666666
TRK,2.15,641215219>0.4,0.9225000000000001
SYK,-1.96,641215219>0.4,-1.7866666666666666
TEC,-1.52,641215219>0.4,-1.2375
FGFR,1.27,641215219>0.4,0.5925
FAK,1.08,641215219>0.4,-0.6583333333333333
FRK,-1.07,641215219>0.4,-0.8875000000000001
RET,-1.02,641215219>0.4,-0.5283333333333333
FER,-0.91,641215219>0.4,0.6875
AXL,-0.91,641215219>0.4,-0.3766666666666666
EGFR,-0.54,641215219>0.4,0.4366666666666667
DDR,-0.5,641215219>0.4,-0.8925000000000001
ABL,-0.48,641215219>0.4,-0.4525
VEGFR,0.45,641215219>0.4,0.9425
RYK,-0.42,641215219>0.4,-0.5783333333333334
INSR,-0.36,641215219>0.4,0.5441666666666667
JAK,-0.3,641215219>0.4,-0.32
ACK,-0.3,641215219>0.4,0.41000000000000003
SEV,-0.27,641215219>0.4,2.0833333333333335
MET,0.25,641215219>0.4,-0.47666666666666674
CSK,-0.19,641215219>0.4,0.365
PDGFR,-0.12,641215219>0.4,-0.6608333333333333
ALK,0.1,641215219>0.4,-0.8825000000000001
EPH,0.09,641215219>0.4,-0.4783333333333334
SYK,-2.14,641215220>0.15,-1.7866666666666666
TRK,2.04,641215220>0.15,0.9225000000000001
SRC,-1.93,641215220>0.15,-2.2441666666666666
FAK,-1.8,641215220>0.15,-0.6583333333333333
ACK,1.72,641215220>0.15,0.41000000000000003
SEV,1.68,641215220>0.15,2.0833333333333335
PDGFR,-1.63,641215220>0.15,-0.6608333333333333
ALK,-0.93,641215220>0.15,-0.8825000000000001
FRK,-0.9,641215220>0.15,-0.8875000000000001
RYK,-0.83,641215220>0.15,-0.5783333333333334
INSR,0.81,641215220>0.15,0.5441666666666667
EGFR,0.72,641215220>0.15,0.4366666666666667
MET,-0.68,641215220>0.15,-0.47666666666666674
RET,0.66,641215220>0.15,-0.5283333333333333
CSK,0.51,641215220>0.15,0.365
ABL,0.45,641215220>0.15,-0.4525
TEC,-0.43,641215220>0.15,-1.2375
FGFR,-0.38,641215220>0.15,0.5925
DDR,-0.36,641215220>0.15,-0.8925000000000001
AXL,-0.23,641215220>0.15,-0.3766666666666666
FER,-0.21,641215220>0.15,0.6875
EPH,-0.19,641215220>0.15,-0.4783333333333334
VEGFR,0.07,641215220>0.15,0.9425
JAK,0.05,641215220>0.15,-0.32
TRK,2.12,641215220>0.2,0.9225000000000001
ACK,1.92,641215220>0.2,0.41000000000000003
SYK,-1.91,641215220>0.2,-1.7866666666666666
SEV,1.87,641215220>0.2,2.0833333333333335
ALK,-1.38,641215220>0.2,-0.8825000000000001
SRC,-1.37,641215220>0.2,-2.2441666666666666
EGFR,1.3,641215220>0.2,0.4366666666666667
FAK,-1.06,641215220>0.2,-0.6583333333333333
CSK,0.87,641215220>0.2,0.365
PDGFR,-0.79,641215220>0.2,-0.6608333333333333
FER,-0.76,641215220>0.2,0.6875
RYK,-0.72,641215220>0.2,-0.5783333333333334
VEGFR,0.71,641215220>0.2,0.9425
DDR,-0.67,641215220>0.2,-0.8925000000000001
AXL,0.67,641215220>0.2,-0.3766666666666666
INSR,0.57,641215220>0.2,0.5441666666666667
MET,-0.53,641215220>0.2,-0.47666666666666674
FRK,-0.5,641215220>0.2,-0.8875000000000001
EPH,-0.41,641215220>0.2,-0.4783333333333334
FGFR,-0.34,641215220>0.2,0.5925
RET,0.33,641215220>0.2,-0.5283333333333333
JAK,-0.29,641215220>0.2,-0.32
ABL,0.28,641215220>0.2,-0.4525
TEC,-0.26,641215220>0.2,-1.2375
SEV,2.54,641215220>0.3,2.0833333333333335
ACK,2.53,641215220>0.3,0.41000000000000003
SYK,-2.02,641215220>0.3,-1.7866666666666666
EGFR,2.02,641215220>0.3,0.4366666666666667
ALK,-1.74,641215220>0.3,-0.8825000000000001
CSK,1.64,641215220>0.3,0.365
SRC,-1.63,641215220>0.3,-2.2441666666666666
INSR,1.47,641215220>0.3,0.5441666666666667
FAK,-1.13,641215220>0.3,-0.6583333333333333
VEGFR,1.04,641215220>0.3,0.9425
DDR,-0.94,641215220>0.3,-0.8925000000000001
FGFR,-0.93,641215220>0.3,0.5925
TRK,0.89,641215220>0.3,0.9225000000000001
MET,-0.87,641215220>0.3,-0.47666666666666674
PDGFR,-0.8,641215220>0.3,-0.6608333333333333
ABL,0.78,641215220>0.3,-0.4525
FRK,-0.62,641215220>0.3,-0.8875000000000001
RYK,-0.58,641215220>0.3,-0.5783333333333334
EPH,0.57,641215220>0.3,-0.4783333333333334
RET,-0.51,641215220>0.3,-0.5283333333333333
JAK,0.47,641215220>0.3,-0.32
AXL,-0.36,641215220>0.3,-0.3766666666666666
FER,-0.22,641215220>0.3,0.6875
TEC,-0.09,641215220>0.3,-1.2375
TRK,2.48,641215220>0.4,0.9225000000000001
EPH,1.72,641215220>0.4,-0.4783333333333334
ALK,-1.57,641215220>0.4,-0.8825000000000001
INSR,1.46,641215220>0.4,0.5441666666666667
VEGFR,1.46,641215220>0.4,0.9425
EGFR,1.41,641215220>0.4,0.4366666666666667
AXL,-1.18,641215220>0.4,-0.3766666666666666
FRK,-1,641215220>0.4,-0.8875000000000001
RET,-0.92,641215220>0.4,-0.5283333333333333
FER,-0.85,641215220>0.4,0.6875
CSK,0.83,641215220>0.4,0.365
SYK,-0.77,641215220>0.4,-1.7866666666666666
PDGFR,-0.59,641215220>0.4,-0.6608333333333333
TEC,0.53,641215220>0.4,-1.2375
ABL,0.53,641215220>0.4,-0.4525
SRC,-0.4,641215220>0.4,-2.2441666666666666
RYK,-0.38,641215220>0.4,-0.5783333333333334
FGFR,0.37,641215220>0.4,0.5925
ACK,-0.28,641215220>0.4,0.41000000000000003
SEV,-0.27,641215220>0.4,2.0833333333333335
DDR,-0.26,641215220>0.4,-0.8925000000000001
MET,-0.22,641215220>0.4,-0.47666666666666674
FAK,0.19,641215220>0.4,-0.6583333333333333
JAK,-0.05,641215220>0.4,-0.32
SRC,-2.89,641215301>0.15,-2.2441666666666666
EPH,-2.53,641215301>0.15,-0.4783333333333334
SEV,2.18,641215301>0.15,2.0833333333333335
SYK,-1.74,641215301>0.15,-1.7866666666666666
FGFR,1.6,641215301>0.15,0.5925
TEC,-1.42,641215301>0.15,-1.2375
CSK,1.02,641215301>0.15,0.365
DDR,-0.89,641215301>0.15,-0.8925000000000001
FAK,-0.87,641215301>0.15,-0.6583333333333333
RET,0.85,641215301>0.15,-0.5283333333333333
INSR,0.84,641215301>0.15,0.5441666666666667
RYK,-0.64,641215301>0.15,-0.5783333333333334
JAK,-0.62,641215301>0.15,-0.32
ALK,-0.5,641215301>0.15,-0.8825000000000001
PDGFR,0.47,641215301>0.15,-0.6608333333333333
TRK,0.47,641215301>0.15,0.9225000000000001
ACK,-0.46,641215301>0.15,0.41000000000000003
FER,0.45,641215301>0.15,0.6875
VEGFR,0.43,641215301>0.15,0.9425
EGFR,0.22,641215301>0.15,0.4366666666666667
MET,0.2,641215301>0.15,-0.47666666666666674
AXL,0.2,641215301>0.15,-0.3766666666666666
ABL,-0.14,641215301>0.15,-0.4525
FRK,-0.13,641215301>0.15,-0.8875000000000001
SEV,2.83,641215301>0.2,2.0833333333333335
SRC,-2.13,641215301>0.2,-2.2441666666666666
EPH,-1.83,641215301>0.2,-0.4783333333333334
DDR,-1.73,641215301>0.2,-0.8925000000000001
TEC,-1.66,641215301>0.2,-1.2375
SYK,-1.4,641215301>0.2,-1.7866666666666666
FRK,-1.35,641215301>0.2,-0.8875000000000001
RET,-1.27,641215301>0.2,-0.5283333333333333
FGFR,1.09,641215301>0.2,0.5925
EGFR,1.08,641215301>0.2,0.4366666666666667
FER,1.01,641215301>0.2,0.6875
ABL,-1,641215301>0.2,-0.4525
ALK,-0.85,641215301>0.2,-0.8825000000000001
INSR,0.83,641215301>0.2,0.5441666666666667
CSK,0.56,641215301>0.2,0.365
RYK,-0.47,641215301>0.2,-0.5783333333333334
ACK,-0.36,641215301>0.2,0.41000000000000003
JAK,-0.35,641215301>0.2,-0.32
VEGFR,0.29,641215301>0.2,0.9425
AXL,0.25,641215301>0.2,-0.3766666666666666
TRK,-0.23,641215301>0.2,0.9225000000000001
FAK,-0.12,641215301>0.2,-0.6583333333333333
MET,0.07,641215301>0.2,-0.47666666666666674
PDGFR,-0.02,641215301>0.2,-0.6608333333333333
SEV,4.07,641215301>0.3,2.0833333333333335
TEC,-3.15,641215301>0.3,-1.2375
SYK,-2.54,641215301>0.3,-1.7866666666666666
SRC,-2.26,641215301>0.3,-2.2441666666666666
FER,2.18,641215301>0.3,0.6875
INSR,1.8,641215301>0.3,0.5441666666666667
EPH,-1.71,641215301>0.3,-0.4783333333333334
DDR,-1.6,641215301>0.3,-0.8925000000000001
ALK,-1.26,641215301>0.3,-0.8825000000000001
CSK,-1.22,641215301>0.3,0.365
TRK,-1.15,641215301>0.3,0.9225000000000001
VEGFR,1.08,641215301>0.3,0.9425
FRK,-0.94,641215301>0.3,-0.8875000000000001
RET,-0.85,641215301>0.3,-0.5283333333333333
FGFR,0.8,641215301>0.3,0.5925
JAK,-0.65,641215301>0.3,-0.32
AXL,0.42,641215301>0.3,-0.3766666666666666
EGFR,0.41,641215301>0.3,0.4366666666666667
ABL,-0.37,641215301>0.3,-0.4525
PDGFR,-0.35,641215301>0.3,-0.6608333333333333
RYK,-0.34,641215301>0.3,-0.5783333333333334
ACK,-0.24,641215301>0.3,0.41000000000000003
FAK,-0.05,641215301>0.3,-0.6583333333333333
MET,0.03,641215301>0.3,-0.47666666666666674
SEV,4.43,641215301>0.4,2.0833333333333335
TEC,-3.55,641215301>0.4,-1.2375
FER,2.85,641215301>0.4,0.6875
SYK,-2.32,641215301>0.4,-1.7866666666666666
CSK,-1.44,641215301>0.4,0.365
EPH,-1.42,641215301>0.4,-0.4783333333333334
SRC,-1.36,641215301>0.4,-2.2441666666666666
DDR,-1.33,641215301>0.4,-0.8925000000000001
JAK,-1.25,641215301>0.4,-0.32
