Kinase,Z,method,AvgZ
PKCH,2.75,710490313>0.15,2.9341666666666666
NMO,-2.68,710490313>0.15,-2.1991666666666667
AKT,2.41,710490313>0.15,1.2475
PRKDC,-2.14,710490313>0.15,-1.6900000000000002
MLCK,2.07,710490313>0.15,0.955
STKR,1.91,710490313>0.15,1.18
PKN,1.89,710490313>0.15,0.6591666666666667
PAKB,1.87,710490313>0.15,1.68
STE7,-1.78,710490313>0.15,-1.0916666666666666
NDR,-1.72,710490313>0.15,-1.4466666666666665
PKCD,-1.68,710490313>0.15,-1.2591666666666665
RIPK,-1.62,710490313>0.15,-1.0666666666666667
SGK,1.55,710490313>0.15,0.5391666666666668
ATM,-1.51,710490313>0.15,-1.2933333333333334
MTOR,-1.49,710490313>0.15,-0.5491666666666666
PIM,1.36,710490313>0.15,0.7941666666666667
KHS,1.31,710490313>0.15,1.1725
BARK2,-1.31,710490313>0.15,-1.1133333333333333
TAO,1.3,710490313>0.15,0.7583333333333333
MST,1.24,710490313>0.15,1.6658333333333333
DMPK,1.2,710490313>0.15,0.7616666666666667
STE11,-1.15,710490313>0.15,-0.3041666666666667
RAD53,1.14,710490313>0.15,0.9016666666666666
CDK,-1.12,710490313>0.15,-0.79
TTK,-1.11,710490313>0.15,-0.9183333333333333
PLK,-1.1,710490313>0.15,-1.2341666666666666
TLK,-1.09,710490313>0.15,-0.9108333333333334
ATR,-1.08,710490313>0.15,-0.8
NUAK,-1.05,710490313>0.15,-0.9083333333333333
MARK,-1.02,710490313>0.15,-0.2791666666666667
RAF,0.93,710490313>0.15,-0.02749999999999997
PKG,0.9,710490313>0.15,0.6483333333333333
MLK,-0.89,710490313>0.15,-0.6308333333333334
GSK,-0.87,710490313>0.15,-0.935
CAMK1,-0.84,710490313>0.15,-0.2575
SLK,-0.81,710490313>0.15,-0.6525
BRSK,-0.77,710490313>0.15,0.7033333333333334
CLK,-0.77,710490313>0.15,-0.6408333333333334
ULK,-0.76,710490313>0.15,-0.6366666666666667
WNK,-0.76,710490313>0.15,0.04999999999999997
ERK,0.76,710490313>0.15,0.9941666666666666
NIK,-0.76,710490313>0.15,-0.6316666666666667
PASK,-0.75,710490313>0.15,-0.64
MOS,-0.75,710490313>0.15,-0.6425
CHK1,0.73,710490313>0.15,0.7816666666666666
BUD32,-0.72,710490313>0.15,-0.6475
PKD,-0.71,710490313>0.15,-0.6733333333333333
CAMKK,-0.71,710490313>0.15,-0.6341666666666667
PHK,-0.7,710490313>0.15,-0.6541666666666667
DYRK,-0.7,710490313>0.15,-0.05750000000000007
LKB,-0.7,710490313>0.15,0.3841666666666667
FRAY,-0.69,710490313>0.15,0.11000000000000001
CAMK2,-0.65,710490313>0.15,0.3025
JNK,-0.65,710490313>0.15,-0.6266666666666666
PKA,0.64,710490313>0.15,0.2541666666666666
PDK1,0.59,710490313>0.15,1.3108333333333333
MSN,0.57,710490313>0.15,0.2258333333333333
AMPK,0.52,710490313>0.15,0.3233333333333333
RSK,0.51,710490313>0.15,0.10416666666666663
IKK,-0.49,710490313>0.15,-0.1975
PAKA,-0.48,710490313>0.15,-0.6075
DAPK,0.48,710490313>0.15,0.5133333333333333
IRAK,0.47,710490313>0.15,0.5283333333333333
