Kinase Name,Kinase Uniprot ID,Kinase Group,Kinase Family,Mean Significance Score,Mean Specificity Score,Median Final score,Max Final score,Median Kinase Statistic,Mean Kinase Statistic,SD Kinase Statitistic,Median Kinase Change,Mean peptide set size
SYK,P43405,TYR,Syk,0.9340304550195169,2.5456131997013958,3.372634143407267,3.6655462488490693,0.7024563377235198,0.6963756798165994,0.05280241282613143,0.15101407270318506,34
FGR,P09769,TYR,Src,0.9665762445130504,2.4061384769121394,3.364516253185088,3.6655462488490693,1.6048604107592248,1.6143867845717919,0.018903312003217935,0.9118597788731955,4
NTRK3,Q16288,TYR,Trk,0.9665762445130504,2.339242922320144,3.364516253185088,3.6655462488490693,0.9314184051732955,0.9212772483848438,0.10102194610153273,0.2932684268317271,14
ATR,Q13535,Atypical,PIKK,0.9665762445130504,2.0205951344914515,2.9665762445130506,3.1884249941294067,1.6763529485767352,1.6763529485767352,0,1.0745282088430763,3
ZAP70,P43403,TYR,Syk,0.9340304550195169,2.1318776624219,2.8873949984654255,3.6655462488490693,0.6219934463007813,0.6683807096260929,0.08109521299270386,0.10615351945486073,29
HCK,P08631,TYR,Src,0.9665762445130504,1.6310990776079586,2.489454989793388,3.6655462488490693,1.1410994705768316,1.1506823309926804,0.10527582515887302,0.2438864679429732,6
LYN,P07948,TYR,Src,0.9665762445130504,1.3659263930940269,2.3038184128314763,2.6655462488490693,1.223443071219382,1.1440624407301072,0.1923035631465614,0.24879391495272843,5
SRC,P12931,TYR,Src,0.6736641390712486,1.6912396281990407,2.2934528973596424,2.7705741520793046,0.7388660290485649,0.736448527632049,0.020581376228740317,0.27354369947874774,17
ERBB2,P04626,TYR,EGFR,0.9665762445130504,1.4551993127737946,2.203148250950113,3.6655462488490693,0.5938536881907261,0.6288876268819205,0.167995875338976,0.1905962778390309,28
NTRK1,P04629,TYR,Trk,0.9665762445130504,1.1896791310788815,2.0422969584511685,2.435097327470795,0.8261982830411257,0.8721169913872766,0.09355461322024486,0.17080438594928365,7
ERBB3,P21860,TYR,EGFR,0.9665762445130504,1.143950520484631,1.9579760727511328,2.8873949984654255,0.5826855570285162,0.6170263092921567,0.14998935778341932,0.1490737133329168,21
LTK,P29376,TYR,Alk,0.8039250562411578,1.0097727372499186,1.8127049453062622,2.477816682381314,0.8438888190171868,0.7863101635949379,0.34853504434044147,0.47332880883096085,9
INSR,P06213,TYR,InsR,0.9665762445130504,0.9074316551840544,1.7904849854573692,2.267606240177032,0.6615676454638928,0.6805622695538418,0.08488482004025182,0.317397436859862,10
ALK,Q9UM73,TYR,Alk,0.875978361672511,0.6097134237001387,1.6527090241438969,2.1884249941294067,0.45455920665678323,0.39613001168836504,0.16701880101943412,0.13638430185650322,23
AXL,P30530,TYR,Axl,0.7890775185883554,0.7595922962484052,1.6321224933621195,2.489454989793388,0.4601312709673231,0.3932996743440228,0.19556308183495455,0.1856355757452879,28
MET,P08581,TYR,Met,0.8038472970453827,0.8924415595653632,1.5873043083965004,2.1741845550147962,0.5790662133816531,0.6204499556526366,0.11518129285197116,0.20105337907117593,14
JAK1,P23458,TYR,JakA,0.9665762445130504,0.6190180701259936,1.582760878532619,1.640240383584299,0.7396372370041737,0.7396372370041737,0,-0.11133333908514291,3
PTK2,Q05397,TYR,Fak,0.9014846655259833,0.7515295891404483,1.5756411374096713,2.0973445247820743,0.5469340786125374,0.5279609740831377,0.11622931996164142,0.2074167277564853,22
BMX,P51813,TYR,Tec,0.7777573724448213,0.4517355229242735,1.489454989793388,1.665546248849069,0.4468115139402729,0.38237368050184756,0.1801224546048602,0.0779080674624133,16
EGFR,P00533,TYR,EGFR,0.8745074405334007,0.48724173751128264,1.4428297777014858,1.8142879001299939,0.4032767377493903,0.3846274008426517,0.06174901485638739,0.08464594941430907,38
ERBB4,Q15303,TYR,EGFR,0.8745074405334007,0.5534917371447001,1.4151262465401753,2.250572900878251,0.421445582140627,0.4676184230001937,0.15488854174508856,0.09522837782452699,24
NTRK2,Q16620,TYR,Trk,0.8038472970453827,0.7200617349593872,1.32731116462061,1.8731545593508154,0.5686254365682648,0.5772217885612654,0.033676370848237484,0.20212008927963065,11
ABL2,P42684,TYR,Abl,0.9051970418599505,0.35279786060012763,1.2963303914389264,1.6699110542515192,0.3650335508562594,0.364397060173721,0.10581627020347026,0.06519509439338435,29
IGF1R,P08069,TYR,InsR,0.657236336144118,0.6196752418574185,1.1767344909980335,1.8662056993954874,0.60472717259833,0.6035172677084957,0.14041721124632242,0.27707575350584157,7
TYRO3,Q06418,TYR,Axl,0.8194865052449637,0.3331064158942027,1.1658591662306654,1.640240383584299,0.312700425541991,0.3568631662323246,0.0930783669953096,0.07995737205951167,21
BLK,P51451,TYR,Src,0.757823814666865,0.6283867031715679,1.134588040278472,2.1470323089711814,0.4792283462771129,0.49370533683564427,0.21570164011350845,-0.023450241005873704,8
YES1,P07947,TYR,Src,0.5776131143350123,0.5900106304603772,1.1222141410983735,1.5944828930236237,0.5342685482409971,0.5049102262529307,0.11162354460395887,0.12279467322784009,9
TXK,P42681,TYR,Tec,0.5303384342408732,0.5518949600663179,1.058766923038114,1.6244461164010668,0.41478284842108853,0.48361859837892834,0.19726378149145393,0.18083106240361158,12
BTK,Q06187,TYR,Tec,0.618047582027962,0.389624717800677,1.0555962976621962,1.6878226435602213,0.5115047232361485,0.40543034340281253,0.19956901554227247,0.16385637155883068,7
FGFR4,P22455,TYR,FGFR,0.6112691823130196,0.40157109552367176,0.9953003957749451,2.0302114625850614,0.34957501028229226,0.4240700397626301,0.2726716994223134,0.12336835509283184,10
FES,P07332,TYR,Fer,0.4358941458452935,0.41728954636718274,0.9159530616739816,1.0228985669991115,-0.4786597073016523,-0.46005174948470445,0.10637645886882582,-0.2413869982504163,6
ROS1,P08922,TYR,Sev,0.7562436458513976,0.24108938580341832,0.9000968044238953,1.2981903278230502,0.27005879434169483,0.30089065663350356,0.06166372458361749,-0.14931649125955926,4
FGFR1,P11362,TYR,FGFR,0.5424549181350777,0.3300900638211545,0.8565105472694154,1.163422725159351,0.3797366184532096,0.369811769821382,0.07417337857566801,0.15530481863986395,10
EPHB1,P54762,TYR,Eph,0.3851027839668654,0.377012030236055,0.7744426208769855,0.7852197118931776,-0.5088409320776214,-0.5088409320776214,0,-0.23216264723573055,3
MAP2K3,P46734,STE,STE7,0.5114492834995558,0.24319651739877798,0.7495214450790267,0.7774499969611688,0.32422222543403023,0.32422222543403023,0,0.15156832085700733,4
MAP2K6,P52564,STE,STE7,0.5114492834995558,0.24319651739877798,0.7495214450790267,0.7774499969611688,0.32422222543403023,0.32422222543403023,0,0.15156832085700733,4
FYN,P06241,TYR,Src,0.4390341844324949,0.24739450714593023,0.7008565549477106,0.8524844408351208,0.3096020471541767,0.23562819318450048,0.22235720896362157,0.003878097501940703,5
EPHA2,P29317,TYR,Eph,0.3869951952829831,0.3021863964783719,0.6826722475213401,0.7556931848641465,-0.4209352638668405,-0.4151156924413407,0.020859909916671672,-0.19835914579812433,3
MERTK,Q12866,TYR,Axl,0.4476087890620362,0.1451223426797044,0.6732709937680852,0.8744016369683852,0.27685708330228304,0.24249197622155372,0.08357146236908304,0.0184927156502127,24
RET,P07949,TYR,Ret,0.369464156973752,0.2935659501903539,0.6417376508537447,0.8279928810283952,0.3205435385517028,0.3339562941937724,0.061987913329995876,0.08666714589233888,11
PDGFRB,P09619,TYR,PDGFR,0.3408165324481331,0.23489281864036932,0.6338461084950009,0.7236760889798125,0.30009925464421827,0.2881072278667107,0.06957823193401645,-0.002934610599628914,8
MATK,P42679,TYR,Csk,0.40678271637638425,0.28521780190625157,0.604010001899353,1.2270918050287283,0.29364470739678533,0.3457625715151086,0.14138957633677535,0.033285138381145364,14
CSK,P41240,TYR,Csk,0.49673859780531004,0.22639103424068915,0.5767147955137347,1.410273743745763,0.28543564664136417,0.30484503584061434,0.05185055616936927,0.04599433386635568,20
FRK,P42685,TYR,Src,0.31259668756750153,0.18480980516761036,0.5663581538405646,0.6208032961678651,0.26097293264841953,0.24810779337055722,0.06368106627403532,0.05821656193897695,14
MST1R,Q04912,TYR,Met,0.393618634889395,0.1595073828001721,0.5547695441521397,0.5585625331692787,-0.2368498606536288,-0.2368498606536288,0,-0.21979745878846302,3
FER,P16591,TYR,Fer,0.29866312277747226,0.2867085580293645,0.48772127698438733,0.9473522211464773,-0.31696783908610604,-0.34319532177204903,0.10480500248789439,-0.24056062623338126,7
FGFR2,P21802,TYR,FGFR,0.38612916831562993,0.229829641389552,0.436110916963054,1.2378918691191623,0.17591132332456846,0.276786672486026,0.13908622147683228,0.22348130394405996,5
PTK6,Q13882,TYR,Src,0.35325200455485195,0.0621361106064654,0.4355327863683099,0.5983513618213042,0.23628221797768173,0.20358133333661962,0.05691837436533163,0.004377969278313216,36
FLT1,P17948,TYR,VEGFR,0.27695309006372715,0.13240296303138774,0.41218131637648026,0.48660125964722745,-0.2219811495408196,-0.22170766141206924,0.028637455764191105,-0.10238386074058574,17
FGFR3,P22607,TYR,FGFR,0.34915323122542885,0.19050324574069802,0.40720133469895337,1.1530199647595838,0.17591132332456846,0.25046945520796954,0.1224120147107815,0.22348130394405996,4
PTK2B,Q14289,TYR,Fak,0.2874702724920539,0.08741641174362755,0.3899619194319172,0.5442417968958633,0.129572807458601,0.1470554969059994,0.06566600942848501,0.05031057687456389,13
INSRR,P14616,TYR,InsR,0.29413628771608075,0.07472773303584392,0.3688254213723124,0.37715624039569856,-0.12678334299668004,-0.12678334299668004,0,-0.27313386804136375,3
EPHA5,P54756,TYR,Eph,0.12551887125793043,0.1713735492934839,0.3558884743726135,0.36143886576907197,-0.29031373155545664,-0.2473196635244329,0.08598813606204744,-0.07091224967628425,3
EPHA4,P54764,TYR,Eph,0.1524273408578878,0.16929796191033072,0.3276508783823421,0.32895311168758673,-0.2668302687257755,-0.2668302687257755,0,-0.06570873217347402,3
SRMS,Q9H3Y6,TYR,Src,0.17872617450626285,0.04729776240974886,0.257117828562727,0.2873502983727887,0.08888970890000429,0.10094244601806193,0.0369361915102492,0.019957498840999295,16
KDR,P35968,TYR,VEGFR,0.1517687039618233,0.082771262899862,0.2550814575586469,0.35539599652067666,-0.13933178874907384,-0.11184556955355557,0.07025383581690398,-0.09657823083415247,9
MAP2K2,P36507,STE,STE7,0.15614457737683893,0.09018643677833874,0.24873321660225273,0.25851748608639746,0.1367309538527504,0.1367309538527504,0,0.05906107372746069,3
FLT3,P36888,TYR,PDGFR,0.12962175465591438,0.06291206870732188,0.22964746073706566,0.31084037197881376,0.1083232293535181,0.08935998040739523,0.06661017952906606,-0.08224618006860096,7
CSF1R,P07333,TYR,PDGFR,0.13237818304931373,0.12767581820513862,0.22786613691404983,0.3396202930776029,-0.15880472809201976,-0.09958218825926447,0.17561069819382444,-0.05000546280063567,6
TEC,P42680,TYR,Tec,0.1300637497753347,0.05740383156622091,0.17899246056913182,0.454490012705346,0.07116010344542076,0.08827988636688203,0.0806836428911348,-0.03660972289092596,13
JAK2,O60674,TYR,JakA,0.10390559384146826,0.03245117101286823,0.1734716936593485,0.23002924831045757,-0.027475431608810833,-0.023388949342031257,0.06897246354578554,-0.08619558140798675,11
ABL1,P00519,TYR,Abl,0.23312021239019834,0.05363843029457241,0.16723569505946861,0.5677364097463334,0.11949108469449683,0.1294933186816558,0.0760392641712258,-0.0717636057701737,23
LCK,P06239,TYR,Src,0.12903295023010275,0.07187807117003492,0.16125666340284328,0.3453422453504754,-0.10169460159086073,-0.022349446464574957,0.12098165186576137,-0.25196602958796777,5
MAP2K4,P45985,STE,STE7,0,0.15570816660062592,0.15739076038943792,0.1804560644581313,0.20665885575827586,0.20665885575827586,0,0.11052305003411682,5
MAP2K7,O14733,STE,STE7,0,0.15570816660062592,0.15739076038943792,0.1804560644581313,0.20665885575827586,0.20665885575827586,0,0.11052305003411682,5
ITK,Q08881,TYR,Tec,0.14194571171140505,0.06309508067417072,0.11610700286707437,0.3965524851853964,-0.08293587931131233,-0.07785789642373382,0.13671920129899534,-0.15369485360978843,20
MAP2K1,Q02750,STE,STE7,0,0.04772765866908402,0.047691990337874794,0.054531414868180264,0.07692533432664772,0.07692533432664772,0,0.038363126384857615,4
KIT,P10721,TYR,PDGFR,0.018784958367701436,0.01821319724144061,0.012333735073725434,0.08479017720354307,-0.011881006624230953,-0.022307089591969437,0.023885056496222613,-0.02289890459874977,5
