Kinase,Z,method,AvgZ
NMO,-2.42,710490313>0.15,-2.0208333333333335
SGK,2.31,710490313>0.15,1.5816666666666668
MLCK,2.14,710490313>0.15,1.4075
PRKDC,-1.99,710490313>0.15,-1.645
PAKB,1.94,710490313>0.15,1.3041666666666667
AKT,1.73,710490313>0.15,1.3283333333333334
STE11,-1.64,710490313>0.15,-0.42750000000000005
NDR,-1.61,710490313>0.15,-1.3383333333333334
CHK1,1.58,710490313>0.15,1.4033333333333333
PKCD,-1.48,710490313>0.15,-1.4483333333333333
PKCH,1.48,710490313>0.15,1.8825
ERK,1.44,710490313>0.15,1.3741666666666668
BRSK,1.43,710490313>0.15,1.1975
ATM,-1.43,710490313>0.15,-1.1825
KHS,1.42,710490313>0.15,1.5066666666666666
WNK,1.39,710490313>0.15,0.10333333333333333
TAO,1.36,710490313>0.15,1.7758333333333334
STKR,1.34,710490313>0.15,0.9925
BARK2,-1.25,710490313>0.15,-1.025
PDK1,1.24,710490313>0.15,1.7116666666666667
AUR,-1.18,710490313>0.15,-0.805
MST,1.16,710490313>0.15,1.6366666666666667
MLK,-1.16,710490313>0.15,-0.8691666666666666
LKB,-1.15,710490313>0.15,0.29583333333333334
RAD53,1.14,710490313>0.15,1.51
PDHK,1.07,710490313>0.15,0.9
GSK,-1.04,710490313>0.15,-0.5233333333333333
TLK,-1.03,710490313>0.15,-0.8425
TTK,-1.03,710490313>0.15,-0.8466666666666667
QIK,1.02,710490313>0.15,0.47666666666666674
NUAK,-1.02,710490313>0.15,-0.8383333333333334
PIM,1.01,710490313>0.15,0.9441666666666667
PLK,-1,710490313>0.15,-0.9083333333333333
NEK,0.96,710490313>0.15,1.2341666666666666
STE7,-0.87,710490313>0.15,-0.5258333333333334
ATR,-0.87,710490313>0.15,-0.9516666666666667
MAPKAPK,0.86,710490313>0.15,1.1691666666666667
RAF,0.85,710490313>0.15,0.32583333333333336
CDK,-0.83,710490313>0.15,-0.08833333333333333
RIPK,-0.8,710490313>0.15,-0.45
DMPK,0.78,710490313>0.15,1.03
SLK,-0.74,710490313>0.15,-0.5933333333333334
CLK,-0.73,710490313>0.15,-0.5933333333333334
IRAK,0.72,710490313>0.15,0.4708333333333333
CAMKK,-0.72,710490313>0.15,-0.5908333333333333
ULK,-0.72,710490313>0.15,-0.5816666666666667
PASK,-0.72,710490313>0.15,-0.5891666666666666
MOS,-0.71,710490313>0.15,-0.5816666666666667
MTOR,-0.71,710490313>0.15,0.013333333333333346
VRK1,-0.7,710490313>0.15,-0.2833333333333333
MSN,0.7,710490313>0.15,0.8283333333333334
BUD32,-0.7,710490313>0.15,-0.5925
NIK,-0.69,710490313>0.15,-0.5875
MELK,0.64,710490313>0.15,1.2341666666666666
RSK,0.62,710490313>0.15,0.35250000000000004
PKG,0.59,710490313>0.15,0.5258333333333334
PKCA,-0.59,710490313>0.15,-0.49916666666666665
CK2,-0.55,710490313>0.15,-0.7283333333333334
PKCI,-0.52,710490313>0.15,-0.7641666666666667
