Kinase Name,Kinase Uniprot ID,Kinase Group,Kinase Family,Mean Significance Score,Mean Specificity Score,Median Final score,Max Final score,Median Kinase Statistic,Mean Kinase Statistic,SD Kinase Statitistic,Median Kinase Change,Mean peptide set size
HCK,P08631,TYR,Src,0.45957882550998874,1.745934665748059,2.3597173703033194,2.9037854146535946,0.4429580344754081,0.43427488764314187,0.05927594134850428,0.06028286061306417,6
JAK2,O60674,TYR,JakA,0.393618634889395,1.1692657599518081,1.730860803207821,1.9464606035471759,0.22861111264829442,0.22146448271074926,0.05006463949968195,0.019872969964697,11
FLT3,P36888,TYR,PDGFR,0.3906752711509127,1.7002807681891117,1.5962162512647358,3.6655462488490693,0.3286965240725268,0.3907176773899017,0.1739017255570896,0.06496621838494746,7
PTK6,Q13882,TYR,Src,0.18761026516248927,1.336739121990986,1.4330678000342623,2.149721447481963,0.13316378143099125,0.13618766876184232,0.030477171422222667,0.027101221256262548,35
KDR,P35968,TYR,VEGFR,0.2445261243783336,0.8179732034573223,1.3661681011580358,1.7412669627871875,0.2570398462469971,0.19299025935790587,0.09092052075757705,0.053934188906415895,9
ABL2,P42684,TYR,Abl,0.1507429075046756,0.864746718505276,1.238613488474171,1.397983440291845,0.11884740603230316,0.10561309091198981,0.033592482981658116,0.02190201939998296,27
EPHA5,P54756,TYR,Eph,0.274984059745489,0.9125671662584973,1.1836640495543742,1.2222542804099554,-0.3693506533195152,-0.3599793649004622,0.018742576838106068,-0.06950029176027368,3
ERBB3,P21860,TYR,EGFR,0.2597698924113735,0.9286496025194055,1.167031489351273,1.5362861384581266,0.13921634439563885,0.14279239208716532,0.012568797821738642,0.04224127284618641,20
FGR,P09769,TYR,Src,0.2767940950518995,0.8596941585618529,1.167031489351273,1.3210084341163821,0.36603639192813,0.3466718761002625,0.0384252698547835,0.19826385251840092,3
SRMS,Q9H3Y6,TYR,Src,0.18254945503082534,0.9554386146168637,1.1524273408578878,1.38933983691012,0.15674932435886646,0.16650103061249916,0.017882255093193744,0.030012478876915952,16
BMX,P51813,TYR,Tec,0.21756302419583054,0.8675047872913164,1.147007938471924,1.38933983691012,0.15597802304318978,0.15425796651673693,0.011711469243995371,0.051421726240486354,16
CSK,P41240,TYR,Csk,0.20410647891891137,0.9334849469258666,1.1340436780674272,1.6180550454793936,0.15996837455088625,0.14516584669569302,0.033783473611430366,0.056269999005532825,19
YES1,P07947,TYR,Src,0.32718278546097607,0.7504233604827257,1.1238745723211234,1.4644527208233322,0.20456113727937136,0.2019274559100551,0.06388017788858945,0.010632036977898126,9
NTRK1,P04629,TYR,Trk,0.39561353013897754,0.5628246618921253,0.9900497962183994,1.4237047312290112,0.15380862817862856,0.17552165220660282,0.06874564599649442,0.023000470542670674,7
MATK,P42679,TYR,Csk,0.09968736206434006,0.5705282776962193,0.906914673043738,1.1438271690959703,0.13275727356213463,0.1082041561750734,0.05504665488439284,0.03730805416191618,14
ROS1,P08922,TYR,Sev,0.4216753276624356,0.4685323983639077,0.8864423845638906,0.9283536061443319,0.19402940111591457,0.18433873825572744,0.01938132572037428,0.114327536949973,4
ERBB2,P04626,TYR,EGFR,0.15934727862233744,0.7231651686898894,0.8513973451939065,1.2958494831602008,0.11378196012092164,0.11074215756178249,0.039673640334083576,0.02650639814257527,27
TXK,P42681,TYR,Tec,0.10404557568364953,0.7374346784456232,0.8179735897069569,1.161201265165393,0.15890088290421017,0.16410382115145475,0.021897363471148186,0.03779791615528991,12
RET,P07949,TYR,Ret,0.15339101654572293,0.6706750239903089,0.8024878798950726,1.0080123612910827,0.15086358952132575,0.16134455106853396,0.03176330007221993,0.02838111933869952,11
EPHB1,P54762,TYR,Eph,0.22040350874217546,0.5573330800492169,0.7763587128240992,0.8259518279159592,0.2512803900041814,0.2512803900041814,0,0.09876317952835893,3
EPHA2,P29317,TYR,Eph,0.2432541016696683,0.6029404617742963,0.7627780806802275,1.0280565193365585,0.24001393541620386,0.25920155007117796,0.03323392345846834,0.04881631859876023,3
MAP2K4,P45985,STE,STE7,0.15119529894819625,0.49627289828406834,0.6487681789637636,0.6769790348719411,0.18508395945354728,0.18508395945354728,0,0.04154029295556292,5
MAP2K7,O14733,STE,STE7,0.15119529894819625,0.49627289828406834,0.6487681789637636,0.6769790348719411,0.18508395945354728,0.18508395945354728,0,0.04154029295556292,5
PDGFRB,P09619,TYR,PDGFR,0.20925717903548946,0.7133867761316591,0.6285626825958991,1.5341414699915374,-0.12533569157414895,-0.19291677828074622,0.08074061435369088,-0.028761708122103435,8
SYK,P43405,TYR,Syk,0.12160078465500075,0.4422292410172994,0.6058846773797568,0.7408076348946576,0.0688685179915933,0.06560655021259075,0.017468113293602396,0.0020994549667989193,33
NTRK3,Q16288,TYR,Trk,0.14587965757762578,0.5129797205998132,0.5961248400906005,1.4491359627392264,0.09981439893489599,0.11757582704712011,0.046489187040676665,0.03068300435257251,13
MAP2K1,Q02750,STE,STE7,0.15119529894819625,0.4136637003369382,0.571411702331386,0.6021920369224084,0.17634829542416414,0.17634829542416414,0,0.04014103034611116,4
PTK2B,Q14289,TYR,Fak,0.14047334786894966,0.39976248352428856,0.5492829682377054,0.705551410520653,0.09668842876209223,0.09760081799435688,0.019738412509170824,0.032399742954830835,13
EPHA4,P54764,TYR,Eph,0.09582563171583647,0.44336902367838377,0.5468223696900487,0.5592671891443064,0.21219689154147234,0.21219689154147234,0,0.0403741198567816,3
ITK,Q08881,TYR,Tec,0.12845506331562517,0.4446170765788627,0.5230177417551689,0.7654118583666456,0.08217514333367557,0.0881018146086242,0.031198406147470076,0.023575466271023544,20
FGFR1,P11362,TYR,FGFR,0.12208256544580738,0.4623336896179482,0.4512912747653613,1.515985037332437,0.0981454586286867,0.12473645113207282,0.08933552019337893,-0.009454105805418323,10
BLK,P51451,TYR,Src,0.1682302530225276,0.3729081991991679,0.44844266160121665,1.1906827499556973,-0.11306703605740925,-0.07279805734890932,0.13453485930349512,-0.04703954978382319,7
FRK,P42685,TYR,Src,0.09841985981101321,0.3647610375755899,0.4252836666531481,0.9363514509004984,0.02698194346303676,0.041416366997219393,0.08508359583842551,-0.010863775391651644,14
ABL1,P00519,TYR,Abl,0.09897052882621331,0.27024002772044675,0.414002656243459,0.5868880795557178,-0.040041896061680474,-0.02784598874530812,0.057211377186941054,-0.019812482169515852,22
BTK,Q06187,TYR,Tec,0.04937453567027408,0.34504737441752953,0.3839279844541891,0.65692242334776485,0.10551906890869701,0.11442316060912094,0.028504795730328,0.024460715312396058,7
MAP2K2,P36507,STE,STE7,0.09366495819490933,0.26753232754679424,0.3580660584967294,0.38439499721907855,0.14229358634623165,0.14229358634623165,0,0.033052329648821654,3
