Kinase Name,Kinase Uniprot ID,Kinase Group,Kinase Family,Mean Significance Score,Mean Specificity Score,Median Final score,Max Final score,Median Kinase Statistic,Mean Kinase Statistic,SD Kinase Statitistic,Median Kinase Change,Mean peptide set size
PRKG2,Q13237,AGC,PKG,0.47500631189523473,2.0338886970972325,2.6140364293993024,3.216096420727265,-0.4438040148301334,-0.4373296226134775,0.024757262113272793,-0.2347678002925982,14
CAMK2G,Q13555,CAMK,CAMK2,0.4534149510554847,1.2413255360507853,1.937342819774436,2.1021530684204284,-0.6443534927006839,-0.581699503303726,0.10700205744026364,-0.35373752791518753,4
MAPKAPK3,Q16644,CAMK,MAPKAPK,0.22916937253248715,1.5384124253319111,1.743282254022513,2.317313521750232,-0.2970385696691123,-0.30994416145432707,0.040186334916164135,-0.1510330988248587,23
PRKACB,P22694,AGC,PKA,0.26719684267277755,1.309720331564181,1.6432859394166055,2.6972362915270183,-0.380061961967759,-0.346669400457247,0.08325958470697932,-0.20474792116546062,11
MAPKAPK2,P49137,CAMK,MAPKAPK,0.2554669639034222,1.6695714046702355,1.576950832255988,2.9982662871909995,-0.29970882963357404,-0.34457281843698345,0.07100833469421484,-0.1540877026186504,20
PLK3,Q9H4B4,CAMK,PLK,0.5171264163912462,1.0203165800173206,1.5349494517451496,1.6720283763769892,-0.5421026503276327,-0.5421026503276327,0.040666188345207036,-0.28723559661166675,4
NPR1,P16066,RGC,RGC,0.22040350874217546,1.287936137318394,1.5044001651073762,1.618343517414213,-0.3526146979853349,-0.3471725109611943,0.009616892266218516,-0.2367314194968697,14
PRKG1,Q13976,AGC,PKG,0.2522165020605977,1.2602907302879633,1.5044001651073762,1.6128950503404935,-0.31811710331103293,-0.31370059811430495,0.014525578238096557,-0.1910516285962358,18
MAPK7,Q13164,CMGC,MAPK,0.3344554292985732,0.8366580208903706,1.4700565983413307,2.096475935528738,0.3742945419549191,0.31614929684828447,0.16795446707365025,0.1322324847516044,10
PRKX,P51817,AGC,PKA,0.24564692834461851,1.1982720497001647,1.456975515179238,1.9651310036388694,-0.37400528717440273,-0.35133695864078696,0.05678988358913537,-0.21323579262563627,12
CAMK2A,Q9UQM7,CAMK,CAMK2,0.37681573312872957,1.0091199335345857,1.4548413856665525,2.040005161671584,-0.4803447317503342,-0.491034403164803,0.0900546080810919,-0.2551225099177932,4
CAMK2D,Q13557,CAMK,CAMK2,0.3789030837589613,1.0020293186976632,1.4449693565686739,1.8736737399050587,-0.4803447317503342,-0.4892527912623915,0.08066542502916683,-0.2551225099177932,4
MAP3K14,Q99558,STE,STE-Unique,0.5171264163912462,0.9169824582585577,1.4307665857164982,1.4602215650547736,-0.5261480043651255,-0.5180375060316667,0.018135625605012893,-0.28051897799999265,3
PRKACA,P17612,AGC,PKA,0.18637760620871377,1.116657124220756,1.4237047312290112,1.8054301607713574,-0.2796150476127318,-0.25900828099932405,0.04031220537927125,-0.16110600980842416,23
CAMK2B,Q13554,CAMK,CAMK2,0.3994557207828824,1.2596947473694837,1.4023925591969002,2.6140364293993024,-0.5480186074951064,-0.5812284820773077,0.069632335717078,-0.2929857009342913,4
DYRK1A,Q13627,CMGC,DYRK,0.38721614328026455,0.9546946460857967,1.3419107893660613,1.3458234581220396,0.557971365815685,0.557971365815685,0,0.19430297652511777,3
ARAF,P10398,TKL,RAF,0.393618634889395,0.9388222182389038,1.3367137835529224,1.3850184631274776,-0.470883983512554,-0.470883983512554,0,-0.2825954526572836,4
BRAF,P15056,TKL,RAF,0.3405704849108057,0.8038497318685619,1.3144373888417702,1.3850184631274776,-0.470883983512554,-0.42533060570444653,0.09039218179441574,-0.2825954526572836,4
AKT3,Q9Y243,AGC,AKT,0.32987365721619916,0.9824287589424995,1.2691170378862384,1.4905286478974515,-0.4862611792005197,-0.48366204055293543,0.05560155024115532,-0.26537126633368635,4
CDKL4,Q5MAI5,CMGC,CDKL,0.29929628285498067,0.7679005577395605,1.0792197179682004,1.1174526949102082,-0.4735896116960671,-0.4735896116960671,0,-1.40497257475225e-4,3
CDKL5,O76039,CMGC,CDKL,0.3623694356918134,0.7666014342417196,1.0691985220617797,1.7052693095156686,0.343429509952696,0.3876213334529778,0.13031558166556045,0.052543335367543374,6
PRKCQ,Q04759,AGC,PKC,0.1976093609144932,0.8083478182372593,1.0148430787229434,1.1697450387086865,-0.2804215251924699,-0.29209270229436,0.020727220930118084,-0.12960075867390883,12
CDK11A,Q9UQ88,CMGC,NA,0.3410723145764216,0.580790679290603,1.0127628798536081,1.1744959888624222,0.35507383526139896,0.3276315962282939,0.09040307827104885,0.029099542923803588,4
