Kinase,Z,method,AvgZ
SYK,-2.22,641215101>0.15,-1.1541666666666668
CSK,2,641215101>0.15,1.5716666666666668
ACK,1.64,641215101>0.15,1.9608333333333334
SEV,1.57,641215101>0.15,1.0208333333333333
ALK,-1.56,641215101>0.15,-0.3050000000000001
FAK,-1.38,641215101>0.15,-0.685
TEC,-1.09,641215101>0.15,-0.5758333333333333
EPH,-1.08,641215101>0.15,-0.050833333333333355
RYK,-0.9,641215101>0.15,-0.6799999999999999
SRC,-0.9,641215101>0.15,-1.0425
DDR,-0.89,641215101>0.15,-0.7075
VEGFR,0.89,641215101>0.15,0.7408333333333333
FGFR,0.8,641215101>0.15,0.9566666666666667
ABL,-0.71,641215101>0.15,-0.30916666666666665
EGFR,-0.46,641215101>0.15,0.255
JAK,0.44,641215101>0.15,0.08083333333333334
AXL,0.42,641215101>0.15,0.31833333333333336
RET,-0.33,641215101>0.15,-0.26083333333333336
FER,0.28,641215101>0.15,0.5
PDGFR,0.27,641215101>0.15,-0.46
INSR,-0.16,641215101>0.15,-0.88
FRK,0.1,641215101>0.15,-0.6575
TRK,0.08,641215101>0.15,0.37
MET,0.06,641215101>0.15,-0.66
CSK,2.3,641215101>0.2,1.5716666666666668
ALK,-2.02,641215101>0.2,-0.3050000000000001
SYK,-1.95,641215101>0.2,-1.1541666666666668
SEV,1.82,641215101>0.2,1.0208333333333333
ACK,1.75,641215101>0.2,1.9608333333333334
FGFR,1.61,641215101>0.2,0.9566666666666667
SRC,-1.57,641215101>0.2,-1.0425
FAK,-1.36,641215101>0.2,-0.685
TEC,-1.28,641215101>0.2,-0.5758333333333333
DDR,-1.1,641215101>0.2,-0.7075
VEGFR,1.05,641215101>0.2,0.7408333333333333
EPH,-0.87,641215101>0.2,-0.050833333333333355
RYK,-0.82,641215101>0.2,-0.6799999999999999
FRK,-0.79,641215101>0.2,-0.6575
PDGFR,0.77,641215101>0.2,-0.46
EGFR,-0.71,641215101>0.2,0.255
RET,-0.67,641215101>0.2,-0.26083333333333336
MET,-0.63,641215101>0.2,-0.66
AXL,0.58,641215101>0.2,0.31833333333333336
TRK,0.48,641215101>0.2,0.37
INSR,-0.42,641215101>0.2,-0.88
JAK,-0.33,641215101>0.2,0.08083333333333334
FER,-0.17,641215101>0.2,0.5
ABL,-0.12,641215101>0.2,-0.30916666666666665
SEV,2.42,641215101>0.3,1.0208333333333333
ACK,2.42,641215101>0.3,1.9608333333333334
CSK,1.66,641215101>0.3,1.5716666666666668
FGFR,1.19,641215101>0.3,0.9566666666666667
TEC,-1.18,641215101>0.3,-0.5758333333333333
DDR,-1.08,641215101>0.3,-0.7075
MET,-1.03,641215101>0.3,-0.66
ALK,-1.02,641215101>0.3,-0.3050000000000001
FAK,-0.93,641215101>0.3,-0.685
VEGFR,0.85,641215101>0.3,0.7408333333333333
SRC,-0.81,641215101>0.3,-1.0425
PDGFR,0.8,641215101>0.3,-0.46
FRK,-0.74,641215101>0.3,-0.6575
EPH,-0.72,641215101>0.3,-0.050833333333333355
TRK,0.71,641215101>0.3,0.37
RET,-0.6,641215101>0.3,-0.26083333333333336
RYK,-0.56,641215101>0.3,-0.6799999999999999
