Kinase Name,Kinase Uniprot ID,Kinase Group,Kinase Family,Mean Significance Score,Mean Specificity Score,Median Final score,Max Final score,Median Kinase Statistic,Mean Kinase Statistic,SD Kinase Statitistic,Median Kinase Change,Mean peptide set size
PRKACA,P17612,AGC,PKA,0.6921180951914695,2.3776261595926322,3.3851027839668655,3.6655462488490693,0.9406956668895451,0.9420902376253358,0.015026346752098393,0.416349844894757,32
PRKG2,Q13237,AGC,PKG,0.9665762445130504,2.18900042030777,3.1884249941294067,3.6655462488490693,1.0072724779051816,1.000035112726512,0.028366944465063236,0.4432329769431353,21
PRKX,P51817,AGC,PKA,0.7919958347740926,1.8605425336897432,2.5516028965422324,3.3851027839668655,0.9711446368040971,0.9880523788414028,0.03941323793472077,0.44827242824884495,19
CAMK4,Q16566,CAMK,CAMK1,0.9354158595261388,1.5960003076797178,2.489454989793388,2.8873949984654255,1.0656532127269045,1.0714541442582735,0.03957129462752996,0.4542798437833858,10
AKT3,Q9Y243,AGC,AKT,0.9665762445130504,1.3507957263954495,2.4614262661931443,2.711303739409744,1.0729655557146671,1.1098311825387306,0.0818102467033843,0.45385884800939513,7
CHEK2,O96017,CAMK,RAD53,0.9665762445130504,1.3223008165746013,2.285335007137463,2.5516028965422324,1.0130116512432938,0.9873068830071987,0.03255039048069264,0.36429446702054874,13
PRKAA1,Q13131,CAMK,CAMKL,0.9665762445130504,1.2616125933021969,2.267606240177032,2.586365002801444,1.0852485289084262,1.092560212173606,0.018549378689177717,0.45407733346527973,6
PRKACB,P22694,AGC,PKA,0.6485758100220466,1.2388677855274566,1.987162775294828,2.6069515335832216,0.9604984944228426,0.9550031860361087,0.02973224432451199,0.43383795801426384,15
PSKH1,P11801,CAMK,PSK,0.6861327796308466,1.249757067073547,1.9549337806813687,2.0048915422552596,1.2483787264777206,1.2483787264777206,0,0.5130287717127123,3
PLK3,Q9H4B4,CAMK,PLK,0.9665762445130504,0.966114639939093,1.9296071491954239,2.0320777932694827,1.1323816911974232,1.1323816911974232,0,0.7042060657368049,3
SGK3,Q96BR1,AGC,SGK,0.8107743195784928,0.905418320890576,1.8937410901325928,2.364516253185088,0.9317030001887838,0.9258492581559232,0.04871654479977549,0.4776942140399663,12
STK38L,Q9Y2H1,AGC,NDR,0.9665762445130504,0.8760624451876979,1.842638689700748,1.9173582218428686,1.0182798385150424,1.0182798385150424,0,0.3181083307590843,5
PRKD1,Q15139,CAMK,PKD,0.6861327796308466,1.1431423227807294,1.8288002831995782,1.9227047860679094,1.0791929403983855,1.0791929403983855,0,0.5107813403029992,6
PAK1,Q13153,STE,STE20,0.6861327796308466,1.1332269240500474,1.8053191873500554,1.8937410901325928,1.0670738951179057,1.0670738951179057,0,0.39402204632401583,6
CAMK2G,Q13555,CAMK,CAMK2,0.9665762445130504,0.7080210043300067,1.7517323964653526,1.7904849854573692,0.9962608380269516,0.954161109687473,0.11138541144963866,0.5199856402546337,5
NPR1,P16066,RGC,RGC,0.5546833860000463,1.1120911256200996,1.6720283763769892,1.741650107480678,0.9406454783630096,0.9409857299283183,0.009821081894905897,0.40380490327401364,16
CAMK2A,Q9UQM7,CAMK,CAMK2,0.9665762445130504,0.7002703201292514,1.6682337219647667,1.7517323964653526,0.9511237904115338,0.9511237904115338,0.05211977318237286,0.4937976201347991,6
PRKCD,Q05655,AGC,PKC,0.9042554745392273,0.7005650999876707,1.6485129095502888,1.9665762445130504,0.8847991770780699,0.8852973650361042,0.024798291185251696,0.3694872347668405,13
SGK2,Q9HBY8,AGC,SGK,0.6861327796308466,1.0359142865038677,1.6447400944726216,2.1809828013109405,0.9895092990817179,1.0049589369684722,0.07949749673217499,0.5003936966687703,9
CAMK2B,Q13554,CAMK,CAMK2,0.7983101655837281,0.818435762376249,1.6216747904039281,1.6690994403320663,1.1466955676783768,1.0701263410122985,0.10484673163934279,0.5585536802042285,3
AKT1,P31749,AGC,AKT,0.6673542948264466,0.9206825875778115,1.6142507723247213,1.937944752624646,0.9067372431982728,0.8998518617647784,0.037070106734031376,0.37573498782677534,19
CAMK2D,Q13557,CAMK,CAMK2,0.9665762445130504,0.6727899403126486,1.5899992874565383,1.7679191575586277,0.905986742796116,0.9420963808884503,0.049445158316298206,0.4676096000149645,6
CDK15,Q96Q40,CMGC,CDK,0.8730950895523157,0.598981895989539,1.582760878532619,1.6787745145828243,0.9634434450532223,0.9407625936264569,0.06369405790934962,0.5903013077730046,4
RPS6KB2,Q9UBS0,AGC,RSK,0.5546833860000463,0.9555921793420675,1.552593871260629,2.0119764380713403,0.8930395924056421,0.9383952592181202,0.09365876424292016,0.4613763544269583,16
PRKG1,Q13976,AGC,PKG,0.6861327796308466,0.9122892635633074,1.53384443524779,2.209011524911184,0.8709284919405219,0.8697797796716402,0.04158975696193645,0.42677734460958755,24
AKT2,P31751,AGC,AKT,0.6485758100220466,0.7576488904248161,1.4166198354129302,1.8799528056469597,0.8706817965856002,0.8743761222197504,0.047213343655188214,0.35249653243415324,17
DAPK2,Q9UIK4,CAMK,DAPK,0.6297973252176465,0.6421284426028068,1.3437100988086403,1.460823497904984,0.9825969722181597,0.9651173905091164,0.02621937256356499,0.40486104818300683,4
SGK1,O00141,AGC,SGK,0.6673542948264466,0.828959117028047,1.3437100988086403,2.2389747482886273,0.8785331325973945,0.8996501689150224,0.07229959683354123,0.4496461721672782,12
