Kinase Name,Kinase Uniprot ID,Kinase Group,Kinase Family,Mean Significance Score,Mean Specificity Score,Median Final score,Max Final score,Median Kinase Statistic,Mean Kinase Statistic,SD Kinase Statitistic,Median Kinase Change,Mean peptide set size
CAMK4,Q16566,CAMK,CAMK1,0.9665762445130504,2.492599726954767,3.364516253185088,3.6655462488490693,-1.898184783175207,-1.9094742908815796,0.0930360256440868,-0.715927982122346,10
PRKACA,P17612,AGC,PKA,0.9665762445130504,2.090788568016703,3.364516253185088,3.6655462488490693,-1.4288066559070631,-1.4302783403938535,0.03535726786454464,-0.6498103309922986,32
PRKG2,Q13237,AGC,PKG,0.9665762445130504,2.4182656401815916,3.364516253185088,3.6655462488490693,-1.6107998762024855,-1.586216520592471,0.08108212881343871,-0.7009858012996423,21
PRKX,P51817,AGC,PKA,0.9665762445130504,1.8832457368327673,2.7624562618571256,3.6655462488490693,-1.548702419262293,-1.5580655262641991,0.07190925255316859,-0.653682850818426,19
RPS6KB2,Q9UBS0,AGC,RSK,0.9033230046295366,1.6718551323616668,2.5516028965422324,3.6655462488490693,-1.5151692426358898,-1.644402286447198,0.2649267981168892,-0.6959192612777307,16
PRKG1,Q13976,AGC,PKG,0.9665762445130504,1.5082652735856898,2.435097327470795,2.9665762445130506,-1.4904372681976952,-1.4595927928912826,0.0917802128635642,-0.6612598210466468,24
AKT3,Q9Y243,AGC,AKT,0.9665762445130504,1.1586372943081262,2.1884249941294067,2.410273743745763,-1.625674982575278,-1.657128923940764,0.07347131245121695,-0.6912486076222243,7
PRKD1,Q15139,CAMK,PKD,0.9665762445130504,1.242983481265461,2.1741845550147962,2.3867926478962405,-1.7080599199904396,-1.7080599199904396,0,-0.7639843705547308,6
PLK3,Q9H4B4,CAMK,PLK,0.9665762445130504,1.1219255130833075,2.0692625221807965,2.203148250950113,-1.9151730483624647,-1.9151730483624647,0,-0.9833111220758374,3
CAMK2D,Q13557,CAMK,CAMK2,0.9665762445130504,1.1189996412655197,2.052762392129334,2.267606240177032,-1.690193477746133,-1.6811091535112084,0.01243922325789766,-0.6976622469826088,6
CAMK2A,Q9UQM7,CAMK,CAMK2,0.9665762445130504,1.117927695381472,2.047529675290251,2.267606240177032,-1.6788380724524772,-1.6788380724524772,0.013112092606098899,-0.6822444794774303,6
CAMK2G,Q13555,CAMK,CAMK2,0.9665762445130504,0.9003222062051505,1.9579760727511328,2.0422969584511685,-1.6674826671588214,-1.5757556882858172,0.24268677461324478,-0.6668267119722516,5
RPS6KA5,O75582,AGC-CAMK,RSK,0.9665762445130504,1.1345979895722522,1.9495429052142699,2.6655462488490693,-1.3751271580369975,-1.3623662243621772,0.031826830497461024,-0.567770721816764,28
PRKACB,P22694,AGC,PKA,0.9033230046295366,0.9712573953600959,1.9173582218428686,2.9665762445130506,-1.4314643901984228,-1.3822950271684802,0.11334644853835599,-0.6196152788272048,15
AKT1,P31749,AGC,AKT,0.9665762445130504,0.8746169512312705,1.8266971581118137,2.1741845550147962,-1.3885420998628708,-1.3810056558997124,0.0731565815762089,-0.5672698362374438,19
STK38L,Q9Y2H1,AGC,NDR,0.9665762445130504,0.8554732212036795,1.8220494657167299,1.859366274865182,-1.6141334158684035,-1.6141334158684035,0,-0.5924853335276282,5
AKT2,P31751,AGC,AKT,0.9665762445130504,0.8216101041046625,1.8204482088348124,2.085762652232259,-1.3804871739677556,-1.3750730926261492,0.05526329310736362,-0.5135507056662474,17
CHEK2,O96017,CAMK,RAD53,0.9033230046295366,0.7275559965400483,1.7210635766989006,1.8204482088348124,-1.4222831444650825,-1.383871479339839,0.047137564224077194,-0.5318068376792192,13
PRKAA1,Q13131,CAMK,CAMKL,0.9665762445130504,0.7530720208116395,1.6699110542515192,1.984305011473482,-1.458384761637051,-1.4832292205497029,0.0613755008615867,-0.7148882592987835,6
CAMK2B,Q13554,CAMK,CAMK2,0.9665762445130504,0.5553378983486346,1.582760878532619,1.697063300295134,-1.5780006779712956,-1.4472889941284526,0.17898434442552172,-0.709745707582553,3
RPS6KA4,O75676,AGC-CAMK,RSK,0.8954163496440974,0.5052422011909441,1.5433334627626012,1.6321224933621195,-1.5305188021252754,-1.4281582020385952,0.189535001970057,-0.6816040880016653,4
CDK15,Q96Q40,CMGC,CDK,0.8716963846877798,0.4438260699426789,1.456031234306438,1.5071837567538195,-1.400736231454796,-1.3379880352342404,0.09502487294399005,-0.7277154249296531,4
MAK,P20794,CMGC,RCK,0.9665762445130504,0.45473695161717415,1.4213131961302246,1.4275001457202738,-1.3734283609194222,-1.3734283609194222,0,-0.39576793789032855,3
IKBKB,O14920,OTHER,IKK,0.9665762445130504,0.45434790732045793,1.4200335810349194,1.4724216504946077,-1.3720348209757667,-1.3720348209757667,0,-0.9059648135082167,3
PRKAB1,Q9Y478,NA,NA,0.9665762445130504,0.4315676200142187,1.3937046423125703,1.4249970005664694,-1.349840111664678,-1.349840111664678,0,-0.6214070635562733,3
PSKH1,P11801,CAMK,PSK,0.6819366650372385,0.6573137507984758,1.3496156772591759,1.3941349351070125,-1.5341131008367743,-1.5341131008367743,0,-0.7286577088937719,3
PRKACG,P22612,AGC,PKA,0.9665762445130504,0.3722655878322464,1.3351324754998783,1.3710800226874762,-1.2637134536863794,-1.2637134536863794,0,-0.6962106975863461,3
SGK3,Q96BR1,AGC,SGK,0.8084431448042659,0.5007071679319689,1.3316886467030757,1.8266971581118137,-1.33695110371902,-1.2483290503154891,0.15813809859002834,-0.6390489410834126,12
CDK18,Q07002,CMGC,CDK,0.6819366650372385,0.645891560852599,1.3278282258898375,1.3278282258898375,-1.5609717534897374,-1.5609717534897374,NA,-0.5073622550212059,3
DAPK3,O43293,CAMK,DAPK,0.9665762445130504,0.28399665636520083,1.2505729008782511,1.2505729008782511,-1.1541691176934996,-1.1541691176934996,NA,-0.40904082952188564,3
AURKA,O14965,CAMK,AUR,0.9665762445130504,0.21260997120669967,1.1826726652403154,1.2107013888405591,-1.0944803439810336,-1.0944803439810336,0,-0.4010308905137777,5
MAPKAPK3,Q16644,CAMK,MAPKAPK,0.6819366650372385,0.36873679629135636,1.1687190649692996,1.2225441772780077,-1.249581427810321,-1.1845955598414077,0.10375026144082981,-0.5215640316677178,26
MTOR,P42345,Atypical,PIKK,0.9665762445130504,0.20299478167076918,1.1563437265179664,1.2262135550188065,-0.9891070457615724,-1.0392088805715771,0.059413467357421736,-0.49257318888169044,4
ATR,Q13535,Atypical,PIKK,0.6819366650372385,0.40987001967931436,1.1067488201095774,1.1304866670643634,-1.32145727581454,-1.3027942292410628,0.05598913972043151,-0.6836744503723429,4
MAPKAPK2,P49137,CAMK,MAPKAPK,0.6819366650372385,0.36011797480729013,1.067039449004104,1.2441861022168506,-1.2242540348589255,-1.2032134903517417,0.0538456097150602,-0.4738949356484086,23
