Kinase,Z,method,AvgZ
NMO,-2.85,710490313>0.15,-2.0908333333333333
PKCH,2.46,710490313>0.15,2.254166666666667
PLK,-2.03,710490313>0.15,-1.33
NDR,-1.87,710490313>0.15,-1.3591666666666666
MLCK,1.85,710490313>0.15,0.6025
AKT,1.84,710490313>0.15,1.415
PRKDC,-1.75,710490313>0.15,-1.4816666666666667
CDK,-1.74,710490313>0.15,-1.0891666666666666
RIPK,-1.73,710490313>0.15,-0.9
PKN,1.71,710490313>0.15,0.2833333333333334
PAKB,1.69,710490313>0.15,1.3391666666666666
ATM,-1.68,710490313>0.15,-1.2241666666666666
LKB,-1.55,710490313>0.15,-0.525
SGK,1.5,710490313>0.15,0.625
BARK2,-1.47,710490313>0.15,-1.06
RAD53,1.45,710490313>0.15,1.4458333333333333
STE11,-1.37,710490313>0.15,-0.6799999999999999
KHS,1.26,710490313>0.15,1.7741666666666667
STE7,-1.23,710490313>0.15,-1.0741666666666667
TAO,1.22,710490313>0.15,1.4666666666666668
WNK,1.21,710490313>0.15,-0.2683333333333333
BRSK,1.19,710490313>0.15,1.79
TLK,-1.19,710490313>0.15,-0.8508333333333333
NUAK,-1.19,710490313>0.15,-0.8591666666666666
MLK,-1.18,710490313>0.15,-0.7925
GSK,-1.17,710490313>0.15,-0.9983333333333333
TTK,-1.14,710490313>0.15,-0.8533333333333334
PIM,1.12,710490313>0.15,0.6616666666666667
STKR,0.93,710490313>0.15,0.9008333333333334
VRK1,-0.93,710490313>0.15,-0.13416666666666668
FRAY,0.91,710490313>0.15,-0.08666666666666668
DMPK,0.89,710490313>0.15,0.7
BUD32,-0.86,710490313>0.15,-0.6075
CLK,-0.84,710490313>0.15,-0.6066666666666667
CAMKK,-0.84,710490313>0.15,-0.6108333333333333
MOS,-0.84,710490313>0.15,-0.6025
NIK,-0.83,710490313>0.15,-0.6058333333333333
JNK,-0.83,710490313>0.15,-0.7933333333333333
SLK,-0.83,710490313>0.15,-0.61
ULK,-0.83,710490313>0.15,-0.6125
PASK,-0.8,710490313>0.15,-0.6116666666666667
ATR,-0.77,710490313>0.15,-0.7683333333333333
PKCD,-0.74,710490313>0.15,-1.0383333333333333
MELK,0.7,710490313>0.15,0.775
DYRK,-0.69,710490313>0.15,-0.3358333333333333
PDHK,0.65,710490313>0.15,0.35583333333333333
DAPK,0.64,710490313>0.15,0.26666666666666666
RAF,0.63,710490313>0.15,-0.12916666666666665
AMPK,0.61,710490313>0.15,0.9783333333333333
PKG,0.57,710490313>0.15,0.175
PDK1,0.55,710490313>0.15,0.4675
PAKA,-0.55,710490313>0.15,-1.115
IKK,-0.53,710490313>0.15,0.010833333333333344
CAMK2,-0.5,710490313>0.15,-0.22166666666666668
GRK,-0.49,710490313>0.15,-0.8891666666666667
CHK1,0.49,710490313>0.15,1.0733333333333333
PEK,-0.47,710490313>0.15,-0.36916666666666664
RSK,0.46,710490313>0.15,0.48250000000000004
MSN,0.43,710490313>0.15,0.765
MAPKAPK,0.4,710490313>0.15,0.4266666666666667
MST,0.4,710490313>0.15,0.605
MARK,-0.36,710490313>0.15,0.48916666666666664
AUR,0.36,710490313>0.15,0.055833333333333283
P38,-0.36,710490313>0.15,-0.1875
PKA,0.29,710490313>0.15,0.11999999999999995
HAL,0.29,710490313>0.15,0.047499999999999896
PKCI,-0.28,710490313>0.15,-0.9766666666666667
NAK,0.28,710490313>0.15,-0.10083333333333336
CAMK1,-0.25,710490313>0.15,0.49666666666666665
NEK,-0.22,710490313>0.15,0.25416666666666665
IRAK,0.22,710490313>0.15,0.38
CK1,-0.2,710490313>0.15,0.2966666666666667
CK2,-0.17,710490313>0.15,-0.32749999999999996
PKD,-0.14,710490313>0.15,-0.64
QIK,0.13,710490313>0.15,0.20916666666666667
PHK,-0.1,710490313>0.15,-0.5158333333333333
ERK,0.08,710490313>0.15,0.17166666666666663
MTOR,-0.06,710490313>0.15,-0.19333333333333333
COT,-0.04,710490313>0.15,0.30249999999999994
PKCA,0.03,710490313>0.15,-0.03750000000000001
NMO,-2.6,710490313>0.2,-2.0908333333333333
LKB,-2.01,710490313>0.2,-0.525
AKT,1.95,710490313>0.2,1.415
PLK,-1.91,710490313>0.2,-1.33
STE11,-1.9,710490313>0.2,-0.6799999999999999
PAKB,1.88,710490313>0.2,1.3391666666666666
STE7,-1.83,710490313>0.2,-1.0741666666666667
CDK,-1.82,710490313>0.2,-1.0891666666666666
NDR,-1.72,710490313>0.2,-1.3591666666666666
PKCH,1.67,710490313>0.2,2.254166666666667
ATM,-1.61,710490313>0.2,-1.2241666666666666
PRKDC,-1.55,710490313>0.2,-1.4816666666666667
SGK,1.44,710490313>0.2,0.625
BARK2,-1.37,710490313>0.2,-1.06
RIPK,-1.3,710490313>0.2,-0.9
WNK,1.28,710490313>0.2,-0.2683333333333333
DMPK,1.27,710490313>0.2,0.7
KHS,1.26,710490313>0.2,1.7741666666666667
BRSK,1.25,710490313>0.2,1.79
TAO,1.23,710490313>0.2,1.4666666666666668
PIM,1.15,710490313>0.2,0.6616666666666667
TTK,-1.11,710490313>0.2,-0.8533333333333334
TLK,-1.1,710490313>0.2,-0.8508333333333333
NUAK,-1.09,710490313>0.2,-0.8591666666666666
STKR,1.08,710490313>0.2,0.9008333333333334
RAD53,1.07,710490313>0.2,1.4458333333333333
MLCK,1.02,710490313>0.2,0.6025
PAKA,-1,710490313>0.2,-1.115
AMPK,0.95,710490313>0.2,0.9783333333333333
MLK,-0.94,710490313>0.2,-0.7925
