Kinase,Z,method,AvgZ
PLK,-3.51,710490318>0.15,-2.29
DYRK,-2.83,710490318>0.15,-2.4883333333333333
JNK,-2.72,710490318>0.15,-1.9291666666666667
AMPK,2.65,710490318>0.15,3.2083333333333335
NMO,-2.37,710490318>0.15,-2.0316666666666667
DMPK,2.37,710490318>0.15,2.470833333333333
PKCH,2.21,710490318>0.15,1.6716666666666666
PKCA,2.2,710490318>0.15,1.6233333333333333
ERK,-2.09,710490318>0.15,-1.4875
CDK,-2.07,710490318>0.15,-0.94
RAD53,2.05,710490318>0.15,1.6616666666666666
CAMK1,2.03,710490318>0.15,2.8891666666666667
PIM,1.94,710490318>0.15,1.8566666666666667
RSK,1.87,710490318>0.15,2.0108333333333333
P38,-1.8,710490318>0.15,-1.3891666666666667
NDR,1.71,710490318>0.15,1.57
STE7,-1.68,710490318>0.15,-0.6941666666666667
PKN,1.65,710490318>0.15,1.3866666666666667
PAKB,1.62,710490318>0.15,1.7891666666666666
PAKA,1.61,710490318>0.15,1.6166666666666667
PKG,1.6,710490318>0.15,1.9291666666666667
STE11,-1.5,710490318>0.15,-0.9591666666666666
MAPKAPK,1.49,710490318>0.15,1.36
BARK2,-1.49,710490318>0.15,-1.2291666666666667
PDK1,-1.32,710490318>0.15,-1.1824999999999999
TTK,-1.26,710490318>0.15,-1.0075
MARK,1.22,710490318>0.15,1.2933333333333332
NUAK,-1.21,710490318>0.15,-1
MTOR,-1.21,710490318>0.15,-1.0408333333333333
PEK,-1.2,710490318>0.15,-0.3491666666666666
HAL,-1.2,710490318>0.15,-0.4983333333333333
KHS,1.19,710490318>0.15,1.0658333333333334
WNK,1.19,710490318>0.15,-0.54
TLK,-1.17,710490318>0.15,-1
MST,-1.15,710490318>0.15,-1.0574999999999999
AKT,1.09,710490318>0.15,1.2641666666666667
QIK,-1.08,710490318>0.15,-0.16499999999999998
LKB,-1.04,710490318>0.15,-1.1141666666666667
DAPK,-1,710490318>0.15,-0.2658333333333333
